order_id,order_date,customer_id,product_id,category,subcategory,region,city,sales,quantity,discount,profit,sales_channel,payment_method
36,2023-07-03,4285,442,Grocery,Snacks,South,Bangalore,5106,3,0.15,255.3,Online,Debit Card
37,2023-02-09,4344,335,Electronics,Laptop,South,Chennai,2220,4,0.05,333.0,Offline,Debit Card
38,2023-07-17,4540,135,Electronics,Accessories,South,Bangalore,3088,4,0.1,308.8,Offline,Debit Card
39,2023-04-29,4942,235,Clothing,Men,West,Ahmedabad,1395,3,0.2,0.0,Online,UPI
40,2024-09-12,4684,395,Clothing,Women,West,Pune,1680,5,0.15,84.0,Online,Debit Card
41,2024-06-16,2491,320,Grocery,Snacks,North,Lucknow,7530,5,0.05,1129.5,Online,Debit Card
42,2023-11-04,2336,306,Electronics,Accessories,East,Patna,3665,5,0.15,183.25,Offline,Net Banking
43,2024-01-24,2232,307,Grocery,Daily Essentials,South,Bangalore,2720,2,0.2,0.0,Online,Debit Card
44,2024-09-13,2811,445,Grocery,Daily Essentials,East,Kolkata,3156,3,0.15,157.8,Online,Net Banking
45,2023-03-28,2372,147,Furniture,Storage,West,Ahmedabad,3465,3,0.2,0.0,Online,Debit Card
46,2023-02-17,4480,493,Furniture,Chair,South,Bangalore,2146,2,0.2,0.0,Online,Cash
47,2024-12-14,1999,175,Furniture,Storage,West,Ahmedabad,4448,4,0.15,222.4,Online,UPI
48,2024-06-14,2020,162,Furniture,Storage,West,Mumbai,808,4,0.2,0.0,Offline,Credit Card
49,2024-09-19,2826,181,Clothing,Women,West,Ahmedabad,4865,5,0.2,0.0,Offline,Cash
50,2024-05-11,1317,465,Clothing,Kids,East,Kolkata,1324,2,0.15,66.2,Offline,Credit Card
51,2023-03-24,2568,455,Clothing,Kids,East,Bhubaneswar,816,2,0.05,122.4,Online,Credit Card
52,2024-07-09,1847,315,Grocery,Beverages,North,Chandigarh,3804,4,0.0,760.8,Offline,Net Banking
53,2023-01-07,4495,314,Grocery,Beverages,North,Lucknow,2133,3,0.15,106.65,Online,Cash
54,2023-01-30,3966,184,Grocery,Beverages,South,Hyderabad,3152,4,0.15,157.6,Offline,Credit Card
55,2024-10-20,1744,125,Electronics,Mobile,North,Chandigarh,1508,4,0.15,75.4,Offline,Cash
56,2023-12-12,2033,141,Grocery,Beverages,East,Kolkata,2676,4,0.15,133.8,Offline,UPI
57,2023-03-12,4889,226,Furniture,Storage,North,Chandigarh,1644,1,0.0,328.8,Online,UPI
58,2024-11-16,2904,458,Furniture,Table,South,Bangalore,1255,1,0.05,188.25,Offline,Debit Card
59,2023-11-15,4804,259,Electronics,Mobile,South,Chennai,1285,1,0.0,257.0,Offline,Cash
60,2024-12-14,4299,161,Furniture,Chair,South,Bangalore,5523,3,0.2,0.0,Online,Debit Card
61,2024-06-02,4368,350,Clothing,Men,West,Ahmedabad,375,3,0.15,18.75,Online,Cash
62,2023-06-06,4954,433,Grocery,Daily Essentials,East,Patna,1840,4,0.2,0.0,Offline,Net Banking
63,2024-08-29,4402,144,Grocery,Daily Essentials,West,Pune,2280,3,0.05,342.0,Offline,Cash
64,2023-01-30,1744,349,Grocery,Beverages,South,Hyderabad,7368,4,0.1,736.8,Online,Debit Card
65,2024-12-19,3116,197,Clothing,Kids,East,Bhubaneswar,3714,3,0.0,742.8,Online,Credit Card
66,2024-05-02,1381,250,Furniture,Storage,West,Pune,4068,4,0.0,813.6,Online,Cash
67,2024-07-20,4055,381,Clothing,Women,South,Hyderabad,4020,5,0.15,201.0,Offline,Debit Card
68,2023-08-25,2292,161,Clothing,Women,West,Pune,1577,1,0.05,236.55,Online,Credit Card
69,2024-08-26,1411,199,Grocery,Beverages,South,Chennai,6610,5,0.1,661.0,Offline,Credit Card
70,2024-12-26,1186,127,Clothing,Men,East,Kolkata,1795,5,0.1,179.5,Offline,Credit Card
71,2023-10-19,2395,194,Electronics,Accessories,West,Mumbai,4320,4,0.15,216.0,Online,Debit Card
72,2024-05-18,1621,176,Electronics,Laptop,West,Mumbai,1281,1,0.0,256.2,Offline,UPI
73,2024-09-02,2558,330,Grocery,Daily Essentials,South,Bangalore,2810,5,0.2,0.0,Offline,Debit Card
74,2023-04-12,2083,438,Electronics,Accessories,West,Pune,2762,2,0.05,414.3,Online,Credit Card
75,2023-01-03,2924,249,Electronics,Mobile,South,Bangalore,4088,4,0.2,0.0,Online,Credit Card
76,2024-04-09,4784,235,Clothing,Kids,East,Patna,1507,1,0.05,226.05,Online,Cash
77,2023-06-02,1292,130,Furniture,Storage,North,Lucknow,5376,3,0.05,806.4,Online,Debit Card
78,2024-12-06,4861,239,Electronics,Laptop,East,Bhubaneswar,4599,3,0.15,229.95,Offline,Cash
79,2023-11-27,1374,217,Electronics,Laptop,North,Lucknow,3060,5,0.0,612.0,Online,Debit Card
80,2024-10-29,1743,399,Grocery,Daily Essentials,North,Delhi,7904,4,0.1,790.4,Offline,Cash
81,2023-12-08,4513,182,Clothing,Women,North,Chandigarh,4416,3,0.0,883.2,Offline,Cash
82,2023-02-07,2033,265,Grocery,Daily Essentials,West,Pune,1120,4,0.1,112.0,Online,Cash
83,2023-02-25,3550,487,Grocery,Beverages,North,Lucknow,2322,2,0.1,232.2,Offline,Cash
84,2023-05-15,1497,114,Clothing,Kids,North,Delhi,2991,3,0.15,149.55,Online,Credit Card
85,2024-02-22,2890,160,Electronics,Accessories,East,Patna,560,1,0.0,112.0,Online,Cash
86,2024-05-09,3257,174,Clothing,Women,East,Patna,2396,4,0.15,119.8,Offline,Credit Card
87,2023-12-15,2158,471,Clothing,Women,South,Bangalore,3235,5,0.0,647.0,Offline,Net Banking
88,2024-05-10,4124,378,Grocery,Daily Essentials,West,Mumbai,2340,3,0.2,0.0,Offline,Cash
89,2024-01-28,1178,262,Furniture,Storage,East,Kolkata,3706,2,0.15,185.3,Offline,Cash
90,2023-02-07,2359,151,Furniture,Table,West,Ahmedabad,2256,2,0.2,0.0,Offline,UPI
91,2024-11-01,4201,235,Furniture,Table,West,Mumbai,506,2,0.15,25.3,Offline,Net Banking
92,2024-11-21,3567,467,Electronics,Laptop,West,Ahmedabad,4390,5,0.1,439.0,Offline,Net Banking
93,2024-10-08,2777,150,Electronics,Mobile,North,Lucknow,1695,3,0.0,339.0,Online,Cash
94,2023-02-17,2201,283,Clothing,Men,South,Chennai,5190,3,0.0,1038.0,Offline,Cash
95,2024-11-29,1323,412,Grocery,Daily Essentials,South,Bangalore,896,2,0.05,134.4,Offline,Net Banking
96,2024-04-17,3731,104,Furniture,Chair,South,Hyderabad,3123,3,0.1,312.3,Offline,Debit Card
97,2024-08-24,3827,228,Grocery,Beverages,South,Bangalore,4224,3,0.15,211.2,Offline,Debit Card
98,2023-08-31,3354,251,Grocery,Snacks,South,Hyderabad,5084,4,0.1,508.4,Offline,UPI
99,2024-12-03,4052,354,Electronics,Accessories,West,Pune,1964,1,0.2,0.0,Offline,Credit Card
100,2023-09-14,4700,421,Furniture,Storage,East,Kolkata,2772,2,0.0,554.4,Online,Debit Card
101,2023-05-15,2338,482,Clothing,Kids,West,Mumbai,1962,1,0.1,196.2,Offline,Credit Card
102,2024-05-28,2052,346,Clothing,Kids,South,Bangalore,5400,3,0.05,810.0,Offline,Debit Card
103,2023-08-20,2498,146,Electronics,Mobile,North,Chandigarh,7328,4,0.2,0.0,Offline,UPI
104,2024-01-13,4368,426,Electronics,Laptop,East,Patna,3891,3,0.15,194.55,Offline,UPI
105,2024-07-28,1906,431,Electronics,Accessories,South,Hyderabad,5922,3,0.2,0.0,Online,Cash
106,2023-05-24,3017,159,Grocery,Snacks,East,Patna,176,1,0.1,17.6,Online,Credit Card
107,2024-11-17,4040,472,Grocery,Beverages,South,Hyderabad,4790,5,0.2,0.0,Online,Cash
108,2023-02-03,2821,220,Grocery,Beverages,North,Chandigarh,1632,3,0.15,81.6,Offline,UPI
109,2024-02-12,4887,332,Clothing,Men,East,Patna,1464,3,0.0,292.8,Online,Credit Card
110,2023-05-09,4398,491,Clothing,Men,North,Delhi,2600,5,0.0,520.0,Online,Net Banking
111,2024-09-02,1532,376,Clothing,Men,South,Bangalore,667,1,0.05,100.05,Offline,Credit Card
112,2023-01-16,3411,265,Electronics,Mobile,North,Lucknow,5151,3,0.05,772.65,Online,Credit Card
113,2024-03-07,2950,329,Furniture,Storage,East,Kolkata,1660,5,0.0,332.0,Offline,Net Banking
114,2023-02-14,3635,115,Furniture,Storage,North,Chandigarh,3585,5,0.15,179.25,Online,Cash
115,2024-12-30,2319,411,Electronics,Laptop,West,Pune,1000,4,0.0,200.0,Online,UPI
116,2024-09-03,3070,409,Clothing,Women,South,Hyderabad,3515,5,0.15,175.75,Offline,UPI
117,2024-04-07,4389,332,Furniture,Table,North,Lucknow,1894,2,0.1,189.4,Offline,Cash
118,2024-11-12,3813,342,Grocery,Beverages,North,Chandigarh,2598,3,0.05,389.7,Online,UPI
119,2024-01-17,3402,387,Grocery,Snacks,North,Delhi,2478,2,0.0,495.6,Offline,UPI
120,2023-02-22,2440,153,Grocery,Daily Essentials,West,Pune,3987,3,0.1,398.7,Online,Credit Card
121,2024-07-23,3351,215,Electronics,Laptop,West,Mumbai,1005,3,0.1,100.5,Offline,Net Banking
122,2023-07-04,4774,273,Clothing,Men,North,Lucknow,4617,3,0.1,461.7,Offline,UPI
123,2023-05-26,1881,292,Grocery,Snacks,South,Bangalore,287,1,0.2,0.0,Offline,Cash
124,2023-11-29,4618,126,Clothing,Women,East,Kolkata,6605,5,0.0,1321.0,Online,Credit Card
125,2024-03-29,2810,312,Electronics,Laptop,North,Lucknow,4376,4,0.2,0.0,Offline,Credit Card
126,2023-10-18,3732,257,Grocery,Snacks,North,Chandigarh,5480,5,0.2,0.0,Online,Credit Card
127,2023-07-29,4130,230,Electronics,Mobile,West,Ahmedabad,1596,3,0.05,239.4,Offline,Debit Card
128,2024-03-16,3181,460,Grocery,Daily Essentials,North,Delhi,728,2,0.15,36.4,Online,Net Banking
129,2023-02-13,4773,139,Grocery,Daily Essentials,East,Kolkata,552,4,0.15,27.6,Offline,Net Banking
130,2024-10-17,2659,110,Grocery,Daily Essentials,West,Ahmedabad,2768,4,0.0,553.6,Offline,Credit Card
131,2024-03-23,3412,305,Clothing,Men,West,Ahmedabad,598,1,0.15,29.9,Online,Cash
132,2023-12-08,3593,158,Clothing,Men,East,Patna,512,2,0.2,0.0,Online,Debit Card
133,2023-04-16,1710,408,Furniture,Chair,East,Patna,1248,2,0.05,187.2,Online,UPI
134,2024-07-31,3633,425,Grocery,Beverages,South,Chennai,5095,5,0.2,0.0,Offline,Debit Card
135,2024-03-28,3422,128,Electronics,Laptop,South,Hyderabad,5190,3,0.1,519.0,Offline,Net Banking
136,2023-02-08,1314,430,Grocery,Beverages,North,Chandigarh,855,1,0.1,85.5,Online,Net Banking
137,2024-08-08,2948,356,Electronics,Laptop,West,Pune,1516,2,0.2,0.0,Online,UPI
138,2023-03-28,1160,226,Clothing,Kids,West,Mumbai,7115,5,0.05,1067.25,Offline,Cash
139,2024-02-01,3780,406,Clothing,Women,South,Hyderabad,6744,4,0.1,674.4,Online,Debit Card
140,2024-11-25,3964,436,Electronics,Accessories,North,Chandigarh,2724,4,0.1,272.4,Online,Debit Card
141,2023-11-14,3903,143,Furniture,Table,North,Lucknow,1456,4,0.2,0.0,Offline,Net Banking
142,2024-11-17,3082,285,Clothing,Men,West,Ahmedabad,1455,5,0.15,72.75,Online,Debit Card
143,2024-05-12,1634,139,Furniture,Table,East,Kolkata,1126,2,0.05,168.9,Offline,UPI
144,2023-05-15,1664,192,Clothing,Kids,North,Lucknow,4355,5,0.05,653.25,Online,Cash
145,2023-09-01,4081,483,Clothing,Kids,North,Chandigarh,5400,4,0.1,540.0,Offline,Credit Card
146,2024-01-12,4151,244,Grocery,Snacks,South,Hyderabad,5010,5,0.15,250.5,Offline,Net Banking
147,2023-05-22,4580,290,Furniture,Storage,West,Mumbai,618,3,0.15,30.9,Online,Net Banking
148,2023-10-07,1603,323,Electronics,Mobile,North,Chandigarh,7816,4,0.2,0.0,Online,Credit Card
149,2023-02-24,1965,297,Electronics,Laptop,West,Pune,4512,4,0.1,451.2,Online,Debit Card
150,2024-10-27,1563,119,Clothing,Men,South,Bangalore,5160,3,0.05,774.0,Offline,Cash
151,2024-09-22,1077,231,Grocery,Beverages,South,Chennai,1955,1,0.0,391.0,Online,Credit Card
152,2023-11-05,2719,427,Clothing,Men,West,Mumbai,197,1,0.05,29.55,Offline,UPI
153,2024-06-11,2193,319,Electronics,Accessories,North,Chandigarh,2975,5,0.05,446.25,Online,Net Banking
154,2024-11-11,1277,369,Grocery,Snacks,East,Kolkata,1172,1,0.1,117.2,Online,Cash
155,2023-09-17,2412,223,Grocery,Beverages,West,Mumbai,831,1,0.0,166.2,Online,Net Banking
156,2024-07-13,4401,498,Electronics,Laptop,East,Kolkata,5298,3,0.05,794.7,Offline,Cash
157,2024-04-13,1179,202,Electronics,Accessories,South,Bangalore,700,1,0.05,105.0,Online,Debit Card
158,2024-04-29,2171,282,Grocery,Daily Essentials,East,Patna,522,3,0.05,78.3,Online,Debit Card
159,2024-02-14,2388,195,Clothing,Women,East,Kolkata,7728,4,0.15,386.4,Offline,Cash
160,2024-03-10,4368,192,Clothing,Men,East,Patna,981,1,0.2,0.0,Offline,Debit Card
161,2023-10-30,3939,318,Clothing,Kids,North,Delhi,3039,3,0.2,0.0,Online,Cash
162,2023-12-28,3619,129,Electronics,Accessories,East,Bhubaneswar,4950,5,0.1,495.0,Online,Cash
163,2023-05-27,1142,164,Furniture,Chair,East,Patna,7440,5,0.15,372.0,Online,Credit Card
164,2023-02-03,4886,289,Grocery,Daily Essentials,East,Bhubaneswar,2070,5,0.15,103.5,Offline,Cash
165,2024-01-11,2022,158,Furniture,Storage,North,Lucknow,2972,4,0.1,297.2,Online,Credit Card
166,2023-05-01,3883,328,Grocery,Daily Essentials,West,Ahmedabad,5061,3,0.1,506.1,Online,Net Banking
167,2023-05-06,2851,188,Grocery,Snacks,East,Patna,3692,2,0.0,738.4,Offline,UPI
168,2023-03-08,4650,253,Clothing,Kids,East,Patna,6050,5,0.1,605.0,Online,Credit Card
169,2023-07-25,1107,284,Furniture,Chair,East,Patna,1168,2,0.15,58.4,Offline,Cash
170,2023-11-13,3153,310,Electronics,Mobile,South,Chennai,6272,4,0.15,313.6,Offline,Net Banking
171,2023-03-17,2411,165,Clothing,Kids,North,Delhi,4216,4,0.2,0.0,Online,Credit Card
172,2024-06-14,1663,265,Electronics,Mobile,West,Ahmedabad,1444,2,0.05,216.6,Online,Debit Card
173,2024-10-12,3560,255,Clothing,Men,East,Kolkata,3310,5,0.05,496.5,Online,Net Banking
174,2024-11-05,2382,388,Furniture,Chair,South,Chennai,7875,5,0.2,0.0,Online,UPI
175,2023-08-04,3617,115,Clothing,Kids,North,Delhi,4765,5,0.2,0.0,Offline,Net Banking
176,2023-09-08,1298,452,Clothing,Women,East,Patna,2836,4,0.15,141.8,Online,Credit Card
177,2023-07-28,2280,467,Grocery,Beverages,West,Pune,4026,3,0.05,603.9,Offline,Debit Card
178,2024-07-29,2910,162,Clothing,Kids,West,Mumbai,753,1,0.05,112.95,Offline,Cash
179,2023-10-25,2712,227,Electronics,Mobile,South,Bangalore,7476,4,0.2,0.0,Online,Debit Card
180,2024-06-11,3037,111,Furniture,Table,East,Kolkata,4484,4,0.1,448.4,Online,Cash
181,2023-12-28,3027,405,Furniture,Storage,West,Mumbai,203,1,0.1,20.3,Offline,Debit Card
182,2023-09-28,2498,123,Grocery,Snacks,North,Delhi,4992,3,0.15,249.6,Offline,UPI
183,2024-01-31,2145,419,Clothing,Men,South,Hyderabad,5110,5,0.2,0.0,Online,Credit Card
184,2024-07-25,1815,408,Clothing,Women,North,Chandigarh,4938,3,0.05,740.7,Offline,Net Banking
185,2024-12-31,3127,333,Electronics,Mobile,North,Delhi,5238,3,0.15,261.9,Online,Net Banking
186,2024-02-07,3431,272,Clothing,Men,South,Hyderabad,8070,5,0.1,807.0,Offline,Net Banking
187,2023-12-06,2260,471,Electronics,Laptop,East,Bhubaneswar,953,1,0.2,0.0,Online,Net Banking
188,2023-02-22,3147,422,Furniture,Storage,West,Pune,5415,5,0.05,812.25,Offline,Credit Card
189,2023-01-20,1620,311,Electronics,Mobile,South,Bangalore,2968,4,0.15,148.4,Online,Cash
190,2023-05-22,2331,439,Electronics,Accessories,West,Ahmedabad,2620,5,0.2,0.0,Offline,Net Banking
191,2024-06-29,3768,495,Furniture,Table,West,Pune,3654,3,0.1,365.4,Offline,Net Banking
192,2024-07-25,4158,247,Furniture,Table,West,Mumbai,1680,3,0.1,168.0,Online,Cash
193,2023-10-08,3771,378,Clothing,Kids,East,Bhubaneswar,1047,3,0.2,0.0,Offline,Cash
194,2023-10-22,3686,231,Clothing,Men,East,Kolkata,809,1,0.15,40.45,Offline,Credit Card
195,2024-12-13,3521,479,Clothing,Kids,South,Chennai,1143,3,0.0,228.6,Online,Credit Card
196,2023-08-27,2352,467,Furniture,Storage,North,Lucknow,305,1,0.15,15.25,Offline,UPI
197,2024-10-30,4096,247,Furniture,Table,South,Bangalore,4308,4,0.05,646.2,Offline,Debit Card
198,2023-02-08,4825,118,Furniture,Storage,North,Delhi,1910,2,0.05,286.5,Offline,Cash
199,2023-01-10,1439,271,Clothing,Men,South,Chennai,3789,3,0.2,0.0,Offline,Cash
200,2023-07-17,3994,334,Grocery,Beverages,West,Mumbai,777,1,0.05,116.55,Offline,Credit Card
201,2024-08-04,4506,427,Clothing,Women,North,Lucknow,918,2,0.2,0.0,Offline,Cash
202,2023-04-08,2325,227,Grocery,Daily Essentials,East,Kolkata,774,2,0.15,38.7,Online,Debit Card
203,2023-12-04,1046,233,Grocery,Beverages,West,Mumbai,3876,3,0.2,0.0,Offline,Credit Card
204,2023-11-11,4781,460,Electronics,Laptop,North,Lucknow,1860,2,0.2,0.0,Offline,UPI
205,2023-05-17,4062,410,Furniture,Chair,East,Bhubaneswar,1652,4,0.15,82.6,Offline,Cash
206,2024-11-27,3152,328,Furniture,Chair,West,Ahmedabad,9440,5,0.0,1888.0,Offline,UPI
207,2024-07-03,4499,366,Furniture,Storage,North,Delhi,872,2,0.1,87.2,Offline,UPI
208,2024-06-06,2857,167,Grocery,Snacks,South,Chennai,7024,4,0.0,1404.8,Offline,Cash
209,2023-11-12,4344,101,Grocery,Daily Essentials,North,Lucknow,910,1,0.1,91.0,Online,Net Banking
210,2024-12-18,4828,135,Grocery,Beverages,North,Delhi,1208,1,0.0,241.6,Offline,UPI
211,2024-10-18,2837,293,Furniture,Chair,East,Bhubaneswar,3464,4,0.15,173.2,Offline,UPI
212,2023-07-02,1521,472,Clothing,Men,South,Chennai,4520,5,0.2,0.0,Online,UPI
213,2024-07-11,4372,217,Grocery,Daily Essentials,North,Chandigarh,4756,4,0.15,237.8,Online,Cash
214,2023-04-26,3518,492,Clothing,Men,East,Kolkata,1757,1,0.15,87.85,Online,Credit Card
215,2023-02-04,2002,479,Electronics,Accessories,South,Bangalore,5296,4,0.0,1059.2,Online,Cash
216,2023-05-24,4341,474,Furniture,Chair,West,Mumbai,3460,5,0.05,519.0,Offline,Net Banking
217,2024-11-07,2230,240,Clothing,Men,East,Kolkata,2760,5,0.15,138.0,Online,Net Banking
218,2024-05-22,4218,368,Grocery,Daily Essentials,South,Chennai,805,1,0.15,40.25,Offline,Cash
219,2023-07-08,4478,215,Clothing,Women,West,Mumbai,5345,5,0.05,801.75,Offline,Credit Card
220,2024-07-24,1994,230,Grocery,Beverages,West,Mumbai,1870,5,0.15,93.5,Online,Debit Card
221,2024-07-02,2544,444,Clothing,Men,North,Chandigarh,410,2,0.1,41.0,Online,UPI
222,2023-08-02,1867,197,Furniture,Table,South,Chennai,2160,3,0.0,432.0,Online,Cash
223,2023-09-03,2559,338,Furniture,Table,South,Chennai,3790,5,0.1,379.0,Offline,Debit Card
224,2023-04-11,4745,204,Grocery,Beverages,East,Bhubaneswar,6636,4,0.1,663.6,Offline,Debit Card
225,2023-05-30,4828,399,Furniture,Storage,West,Mumbai,634,1,0.2,0.0,Offline,Debit Card
226,2024-01-24,3045,381,Clothing,Men,South,Bangalore,9030,5,0.05,1354.5,Offline,Debit Card
227,2023-06-22,3950,379,Grocery,Beverages,West,Ahmedabad,1338,3,0.05,200.7,Offline,Credit Card
228,2024-11-15,2689,170,Electronics,Mobile,North,Lucknow,1665,1,0.0,333.0,Online,UPI
229,2024-04-11,3612,441,Furniture,Storage,South,Bangalore,669,3,0.2,0.0,Offline,Cash
230,2023-01-18,3194,246,Grocery,Snacks,North,Delhi,7895,5,0.1,789.5,Online,Net Banking
231,2024-06-20,3538,369,Electronics,Mobile,West,Mumbai,1186,2,0.05,177.9,Offline,Debit Card
232,2024-02-20,3855,215,Electronics,Laptop,East,Bhubaneswar,5028,4,0.05,754.2,Offline,UPI
233,2024-01-22,3608,104,Grocery,Beverages,North,Delhi,5370,5,0.0,1074.0,Online,UPI
234,2023-04-08,1941,208,Clothing,Kids,West,Pune,9910,5,0.0,1982.0,Offline,Debit Card
235,2024-07-31,1064,206,Clothing,Kids,North,Delhi,467,1,0.1,46.7,Online,Cash
236,2023-09-04,3773,376,Furniture,Storage,North,Chandigarh,9045,5,0.15,452.25,Offline,Cash
237,2023-12-21,1950,138,Electronics,Accessories,South,Chennai,300,1,0.15,15.0,Offline,Net Banking
238,2023-10-07,2457,383,Electronics,Accessories,West,Pune,4416,4,0.05,662.4,Offline,Cash
239,2024-09-25,3920,137,Grocery,Snacks,South,Chennai,5202,3,0.05,780.3,Online,Debit Card
240,2024-02-03,1374,102,Furniture,Storage,South,Hyderabad,2514,3,0.0,502.8,Offline,Cash
241,2023-03-31,3281,384,Electronics,Mobile,East,Bhubaneswar,1964,2,0.15,98.2,Offline,UPI
242,2023-04-06,4537,297,Clothing,Kids,North,Delhi,6620,5,0.1,662.0,Online,Debit Card
243,2024-07-26,1694,450,Electronics,Accessories,West,Pune,2542,2,0.2,0.0,Offline,Credit Card
244,2024-05-19,2780,241,Clothing,Women,South,Hyderabad,458,2,0.05,68.7,Offline,Debit Card
245,2023-09-10,1800,334,Clothing,Women,West,Mumbai,5264,4,0.2,0.0,Online,Credit Card
246,2024-09-27,2803,271,Grocery,Beverages,East,Kolkata,6984,4,0.1,698.4,Offline,Net Banking
247,2024-12-12,1727,303,Clothing,Kids,South,Hyderabad,2162,2,0.1,216.2,Offline,Debit Card
248,2024-01-21,2495,158,Furniture,Table,West,Ahmedabad,5316,3,0.15,265.8,Online,Net Banking
249,2024-04-17,4404,454,Electronics,Accessories,South,Chennai,1994,2,0.1,199.4,Online,Cash
250,2023-09-16,4232,293,Clothing,Men,West,Mumbai,3128,2,0.15,156.4,Online,Cash
251,2024-06-02,4238,284,Grocery,Daily Essentials,West,Ahmedabad,4852,4,0.0,970.4,Online,UPI
252,2024-10-24,3642,446,Clothing,Men,South,Chennai,950,5,0.2,0.0,Offline,Debit Card
253,2023-09-22,3285,397,Electronics,Mobile,West,Mumbai,2290,2,0.2,0.0,Online,Cash
254,2024-08-25,1100,347,Grocery,Daily Essentials,East,Bhubaneswar,2040,5,0.1,204.0,Online,Debit Card
255,2023-05-26,2865,205,Electronics,Accessories,West,Mumbai,2214,3,0.1,221.4,Offline,Debit Card
256,2024-12-14,2229,122,Grocery,Daily Essentials,West,Mumbai,3012,4,0.0,602.4,Online,UPI
257,2023-06-18,3260,181,Electronics,Accessories,East,Patna,2312,2,0.05,346.8,Offline,Net Banking
258,2024-10-06,2620,114,Furniture,Table,West,Pune,962,2,0.15,48.1,Online,Cash
259,2023-08-08,3364,152,Electronics,Accessories,West,Pune,1340,2,0.0,268.0,Online,Debit Card
260,2023-09-26,3445,298,Grocery,Snacks,East,Kolkata,4720,4,0.1,472.0,Offline,Net Banking
261,2024-09-24,4762,414,Clothing,Women,North,Chandigarh,3532,2,0.1,353.2,Online,Credit Card
